Receiver           gz_p_th     gz_p_solution       dGz/gz_p_th
  215            1,6616            1,6616       5,50569e-14
  216           1,68149           1,68149        5,5198e-14
  217           1,70169           1,70169       5,54561e-14
  218           1,72221           1,72221       5,55689e-14
  219           1,74305           1,74305       5,57962e-14
  220           1,76422           1,76422       5,60076e-14
  221           1,78573           1,78573       5,59547e-14
  222           1,80758           1,80758       5,63839e-14
  223           1,82978           1,82978       5,64279e-14
  224           1,85234           1,85234       5,65799e-14
  225           1,87526           1,87526       5,67173e-14
  226           1,89854           1,89854       5,69572e-14
  227           1,92221           1,92221         5,718e-14
  228           1,94626           1,94626       5,73861e-14
  229            1,9707            1,9707       5,74631e-14
  230           1,99555           1,99555       5,75266e-14
  231            2,0208            2,0208       5,77967e-14
  232           2,04647           2,04647       5,77228e-14
  233           2,07256           2,07256       5,80674e-14
  234           2,09908           2,09908       5,83915e-14
  235           2,12605           2,12605       5,82774e-14
  236           2,15347           2,15347       5,85666e-14
  237           2,18135           2,18135       5,86324e-14
  238            2,2097            2,2097       5,86841e-14
  239           2,23852           2,23852       5,89203e-14
  240           2,26784           2,26784       5,91378e-14
  241           2,29765           2,29765       5,93369e-14
  242           2,32797           2,32797       5,95178e-14
  243           2,35882           2,35882       5,98692e-14
  244           2,39019           2,39019       6,00123e-14
  245            2,4221            2,4221        5,9955e-14
  246           2,45457           2,45457       6,00666e-14
  247            2,4876            2,4876       6,03402e-14
  248           2,52121           2,52121       6,02404e-14
  249            2,5554            2,5554       6,06508e-14
  250            2,5902            2,5902       6,05218e-14
  251           2,62561           2,62561       6,05513e-14
  252           2,66164           2,66164       6,08995e-14
  253           2,69831           2,69831       6,08947e-14
  254           2,73564           2,73564       6,10378e-14
  255           2,77364           2,77364       6,13224e-14
  256           2,81231           2,81231       6,14265e-14
  257           2,85169           2,85169        6,1357e-14
  258           2,89177           2,89177       6,17351e-14
  259           2,93258           2,93258       6,16331e-14
  260           2,97414           2,97414       6,16679e-14
  261           3,01645           3,01645       6,19806e-14
  262           3,05954           3,05954       6,19786e-14
  263           3,10342           3,10342       6,22471e-14
  264           3,14811           3,14811       6,22098e-14
  265           3,19363           3,19363       6,22965e-14
  266           3,23999           3,23999       6,25016e-14
  267           3,28722           3,28722       6,26843e-14
  268           3,33534           3,33534        6,2579e-14
  269           3,38435           3,38435       6,29848e-14
  270            3,4343            3,4343        6,2974e-14
  271           3,48518           3,48518       6,29465e-14
  272           3,53703           3,53703       6,30282e-14
  273           3,58987           3,58987       6,30901e-14
  274           3,64372           3,64372       6,32546e-14
  275           3,69861           3,69861       6,32765e-14
  276           3,75455           3,75455       6,33983e-14
  277           3,81157           3,81157       6,33819e-14
  278           3,86969           3,86969        6,3348e-14
  279           3,92895           3,92895       6,34098e-14
  280           3,98936           3,98936       6,34514e-14
  281           4,05096           4,05096       6,38021e-14
  282           4,11377           4,11377       6,36917e-14
  283           4,17781           4,17781       6,37782e-14
  284           4,24313           4,24313       6,36338e-14
  285           4,30973           4,30973       6,36807e-14
  286           4,37767           4,37767       6,37069e-14
  287           4,44697           4,44697       6,37129e-14
  288           4,51765           4,51765        6,3699e-14
  289           4,58976           4,58976       6,36658e-14
  290           4,66332           4,66332       6,38043e-14
  291           4,73837           4,73837       6,39183e-14
  292           4,81495           4,81495       6,36396e-14
  293           4,89309           4,89309       6,37125e-14
  294           4,97282           4,97282       6,37625e-14
  295            5,0542            5,0542       6,36146e-14
  296           5,13725           5,13725       6,34506e-14
  297           5,22201           5,22201       6,32711e-14
  298           5,30853           5,30853       6,35784e-14
  299           5,39684           5,39684       6,33609e-14
  300             5,487             5,487        6,3291e-14
